listing_id,listing_type,district,neighbourhood,price,GrossSquareMeters,NetSquareMeters,price_per_m2,rooms,halls,total_rooms,floor,floor_category,total_floors,building_age,building_type,building_condition,heating_type,fuel_type,bathroom_count,furnished,usage_status,is_in_complex,complex_name,maintenance_fee,orientation,credit_eligible,deed_status,exchange,last_updated,scraped_at,sub_district
54895-1121,satilik,Adalar,Maden,15900000,138,96,115217.39130434782,3,1,4,3,NA,3,55,Reinforced Concrete,New,Air Conditioning,Natural Gas,2,Furnished,Vacant,FALSE,NA,2500,"North, South, East, West",Not Eligible,Land Title,No,2026-03-11,2026-03-14T20:38:29Z,Maden
54895-1103,satilik,Adalar,Nizam,40000000,199,150,201005.02512562813,4,1,5,-1,Garden Floor,3,0,Reinforced Concrete,New,Combi Boiler,Natural Gas,4,Unfurnished,Vacant,TRUE,NA,10000,"North, South, East, West",Eligible,Construction Easement,No,2026-03-05,2026-03-14T20:38:36Z,Nizam
54895-1148,satilik,Adalar,Nizam,17850000,107,81,166822.42990654206,2,1,3,1,NA,5,54,Reinforced Concrete,New,Combi Boiler,Natural Gas,3,Furnished,Vacant,FALSE,NA,1000,"North, East, West",Eligible,Condominium Title,No,2026-03-05,2026-03-14T20:38:47Z,Nizam
12854-258,satilik,Adalar,Heybeliada,16000000,200,196,80000,3,1,4,NA,Top Floor,3,35,Reinforced Concrete,Second-hand,Combi Boiler,Natural Gas,2,Unfurnished,Owner-occupied,FALSE,NA,NA,"North, West",Eligible,Condominium Title,No,2026-03-14,2026-03-14T20:38:56Z,Heybeliada
121334-99,satilik,Adalar,Nizam,14000000,160,145,87500,4,1,5,-1,Garden Floor,3,40,Reinforced Concrete,Second-hand,Floor Radiator,Natural Gas,1,Unfurnished,Vacant,FALSE,NA,400,NA,Eligible,Condominium Title,No,2026-03-14,2026-03-14T20:39:04Z,Nizam
12854-251,satilik,Adalar,Heybeliada,12000000,120,100,100000,3,1,4,-1,Garden Floor,3,35,Reinforced Concrete,Second-hand,Air Conditioning,Natural Gas,1,Unfurnished,Vacant,FALSE,NA,250,North,Eligible,Condominium Title,No,2026-03-14,2026-03-14T20:39:12Z,Heybeliada
4387-1728,satilik,Adalar,Maden,21900000,160,150,136875,4,1,5,NA,Top Floor,3,30,Reinforced Concrete,Second-hand,Combi Boiler,Natural Gas,2,Furnished,Owner-occupied,FALSE,NA,3500,"South, East, West",Eligible,Condominium Title,No,2026-03-13,2026-03-14T20:39:20Z,Maden
54895-1156,satilik,Adalar,Maden,6500000,59,48,110169.49152542373,1,1,2,-1,Garden Floor,4,50,Reinforced Concrete,Second-hand,Combi Boiler,Natural Gas,1,Unfurnished,Vacant,FALSE,NA,500,"North, South, East",Eligible,Condominium Title,No,2026-03-13,2026-03-14T20:39:27Z,Maden
139746-600,satilik,Adalar,Kınalıada,18500000,190,160,97368.42105263157,3,2,5,3,NA,3,25,Reinforced Concrete,Second-hand,Combi Boiler,Natural Gas,2,Unfurnished,Owner-occupied,FALSE,NA,NA,"North, South, East, West",Eligible,Condominium Title,No,2026-03-12,2026-03-14T20:39:35Z,Kınalıada
25051-1008,satilik,Adalar,Maden,12100000,160,135,75625,4,1,5,-1,Garden Floor,2,35,Reinforced Concrete,Second-hand,No Heating,Natural Gas,1,Furnished,Owner-occupied,FALSE,NA,NA,"North, South, East, West",Eligible,Condominium Title,No,2026-03-14,2026-03-14T20:39:42Z,Maden
54895-1134,satilik,Adalar,Nizam,22500000,226,81,99557.52212389381,2,1,3,NA,Terrace Floor,4,45,Reinforced Concrete,New,Combi Boiler,Natural Gas,1,Unfurnished,Vacant,FALSE,NA,2000,"North, South, East, West",Eligible,Condominium Title,No,2026-03-12,2026-03-14T20:39:50Z,Nizam
54895-1107,satilik,Adalar,Nizam,24000000,99,94,242424.24242424243,3,1,4,3,NA,3,0,Reinforced Concrete,New,Combi Boiler,Natural Gas,2,Unfurnished,Vacant,TRUE,NA,10000,"North, South, East, West",Eligible,Construction Easement,No,2026-03-12,2026-03-14T20:39:59Z,Nizam
54895-1104,satilik,Adalar,Nizam,30000000,198,161,151515.15151515152,4,1,5,-1,Garden Floor,3,0,Reinforced Concrete,New,Combi Boiler,Natural Gas,3,Unfurnished,Vacant,TRUE,NA,10000,"North, South, East, West",Eligible,Construction Easement,No,2026-03-13,2026-03-14T20:40:08Z,Nizam
54895-871,satilik,Adalar,Nizam,17500000,138,117,126811.59420289854,4,1,5,2,NA,4,31,Reinforced Concrete,Second-hand,Air Conditioning,Natural Gas,2,Unfurnished,Vacant,FALSE,NA,500,"North, South, West",Eligible,Condominium Title,No,2026-03-13,2026-03-14T20:40:16Z,Nizam
54895-589,satilik,Adalar,Maden,11500000,130,118,88461.53846153847,3,1,4,3,NA,3,29,Reinforced Concrete,Second-hand,Air Conditioning,Natural Gas,2,Furnished,Vacant,FALSE,NA,NA,"South, East, West",Eligible,Condominium Title,No,2026-03-13,2026-03-14T20:40:23Z,Maden
82579-1067,satilik,Adalar,Maden,6700000,100,85,67000,3,1,4,-1,Garden Floor,3,34,Reinforced Concrete,Second-hand,Combi Boiler,Natural Gas,1,NA,Vacant,FALSE,NA,NA,"North, South, East",Eligible,Condominium Title,No,2026-03-03,2026-03-14T20:40:32Z,Maden
25051-1015,satilik,Adalar,Nizam,20000000,145,120,137931.0344827586,4,1,5,3,NA,4,30,Wooden,Second-hand,Combi Boiler,Natural Gas,2,Unfurnished,Vacant,FALSE,NA,NA,"North, South, East, West",Eligible,Condominium Title,No,2026-03-06,2026-03-14T20:40:39Z,Nizam
42477-544,satilik,Adalar,Burgazada,17000000,160,130,106250,3,1,4,NA,Top Floor,3,30,Reinforced Concrete,Second-hand,Combi Boiler,Natural Gas,2,Furnished,Owner-occupied,TRUE,NA,NA,"South, East",Eligible,Condominium Title,No,2026-02-17,2026-03-14T20:40:47Z,Burgazada
4387-1729,satilik,Adalar,Nizam,7000000,82,72,85365.85365853658,2,1,3,NA,Mid Floor,4,30,Reinforced Concrete,Second-hand,Floor Radiator,Natural Gas,1,Unfurnished,Tenant-occupied,FALSE,NA,NA,"North, South",Eligible,Construction Easement,No,2026-03-13,2026-03-14T20:40:55Z,Nizam
