listing_url,listing_type,scraped_at,title,district,neighbourhood,address,price,GrossSquareMeters,HallSquareMeters,NumberOfRooms,FloorLocation,HeatingType,KitchenType,Balcony,Elevator,Parking,ItemStatus,UsingStatus,InsideTheSite,TitleStatus,CreditEligibility,Swap,PropertyType,EnergyRating,FromWhom,SiteName,buildingAge,numberFloorsOfBuilding,numberOfBathrooms,numberOfBalconies,rentalIncome,subscription,room_count,adUpdateMonth,adUpdateYear,adActiveDays,price_per_m2
https://www.sahibinden.com/ilan/emlak-konut-satilik-vefa-group-insaat-tan-ugur-mumcu-mah-satilik-3-plus1-daireler-1317301132/detay,satilik,2026-05-26T23:59:08.840605,VEFA GROUP İNŞAAT'TAN UĞUR MUMCU MAH. SATILIK 3+1 DAİRELER,,,"Favori Aramalarım, Size Özel İlanlar, Karşılaştır, Favori Aramalarım'a Git, Vazgeç, Karşılaştır, Tüm ilanları, Favori Satıcılarıma ekle, Dolu, Boş, Yatay, Dikey",7450000,120,110,3+1,3,Yerden Isıtma,Kapalı,Var,Var,Yok,Hayır,Boş,Hayır,Kat İrtifaklı,Hayır,Evet,Satılık Daire,A,Emlak Ofisinden,Belirtilmemiş,0,5,1,,,,3,5,2026,0,62083.333333333336
https://www.sahibinden.com/ilan/emlak-konut-satilik-beylikduzu-yasam-vadisine-3dk-kisa-katli-2-plus1-satilik-daire-1316314651/detay,satilik,2026-05-26T23:59:27.934981,BEYLİKDÜZÜ YAŞAM VADİSİNE 3DK KISA KATLI 2+1 SATILIK DAİRE,Beylikdüzü,,"Favori Aramalarım, Size Özel İlanlar, Karşılaştır, Favori Aramalarım'a Git, Vazgeç, Karşılaştır, Tüm ilanları, Favori Satıcılarıma ekle, Dolu, Boş, Yatay, Dikey",5450000,85,75,2+1,1,Kombi (Doğalgaz),Açık (Amerikan),Var,Var,Açık & Kapalı Otopark,Hayır,Mülk Sahibi,Evet,Kat Mülkiyetli,Evet,Evet,Satılık Daire,Belirtilmemiş,Emlak Ofisinden,Siena House,8,5,1,,,,2,5,2026,0,64117.64705882353
"https://www.sahibinden.com/ilan/emlak-konut-satilik-mavera-comfort-bos-satilik-4,5-plus1-daire-202m2-buyuk-tip-1305015723/detay",satilik,2026-05-26T23:59:47.062692,"MAVERA COMFORT | BOŞ Satılık 4,5+1 Daire 202M2 Büyük Tip",,,"Favori Aramalarım, Size Özel İlanlar, Karşılaştır, Favori Aramalarım'a Git, Vazgeç, Karşılaştır, Tüm ilanları, Favori Satıcılarıma ekle, Dolu, Boş, Yatay, Dikey",18000000,202,150,4.5+1,2,Merkezi (Pay Ölçer),Kapalı,Var,Var,Açık & Kapalı Otopark,Hayır,Mülk Sahibi,Evet,Kat Mülkiyetli,Evet,Hayır,Satılık Daire,Belirtilmemiş,Emlak Ofisinden,Mavera Comfort,2,8,2,,,,,5,2026,0,89108.91089108911
https://www.sahibinden.com/ilan/emlak-konut-satilik-beylikduzu-adnan-kahvecide-3-plus1-150-m2-luks-daire-1316285063/detay,satilik,2026-05-27T00:00:05.875725,BEYLİKDÜZÜ ADNAN KAHVECİDE 3+1 150 M2 LÜKS DAİRE,Beylikdüzü,,"Favori Aramalarım, Size Özel İlanlar, Karşılaştır, Favori Aramalarım'a Git, Vazgeç, Karşılaştır, Tüm ilanları, Favori Satıcılarıma ekle, Dolu, Boş, Yatay, Dikey",12500000,175,150,3+1,5,Merkezi (Pay Ölçer),Kapalı,Var,Var,Kapalı Otopark,Hayır,Mülk Sahibi,Evet,Kat Mülkiyetli,Evet,Hayır,Satılık Daire,Belirtilmemiş,Emlak Ofisinden,Prestij 2,8,6,2,,,4000,3,5,2026,0,71428.57142857143
"https://www.sahibinden.com/ilan/emlak-konut-satilik-satis-ofisinden-bankasiz,kefilsiz-vade-ile-yeni-evinize-tasinin-1304939327/detay",satilik,2026-05-27T00:00:25.386541,"Satış Ofisinden Bankasız,Kefilsiz Vade ile Yeni evinize taşının",,,"Favori Aramalarım, Size Özel İlanlar, Karşılaştır, Favori Aramalarım'a Git, Vazgeç, Karşılaştır, Tüm ilanları, Favori Satıcılarıma ekle, Dolu, Boş, Yatay, Dikey",24990000,157,116,3+1,1,Yerden Isıtma,Kapalı,Var,Var,Kapalı Otopark,Hayır,Boş,Evet,Kat Mülkiyetli,Evet,Hayır,Satılık Daire,Belirtilmemiş,Emlak Ofisinden,Narlı Bahçe Evleri,0,18,2,,,,3,5,2026,0,159171.974522293
https://www.sahibinden.com/ilan/emlak-konut-satilik-artemin-kucukyali-camlik-ta-bahce-terasli-80m2-sifir-2-plus1-1317280647/detay,satilik,2026-05-27T00:01:03.069581,▃ARTEMİN▃KÜÇÜKYALI ÇAMLIK'TA BAHÇE TERASLI 80m² SIFIR 2+1!,,,"Favori Aramalarım, Size Özel İlanlar, Karşılaştır, Favori Aramalarım'a Git, Vazgeç, Karşılaştır, Tüm ilanları, Favori Satıcılarıma ekle, Dolu, Boş, Yatay, Dikey",9950000,80,50,2+1,Bahçe Katı,Yerden Isıtma,Açık (Amerikan),Var,Var,Yok,Hayır,Boş,Hayır,Tapu Kaydı Yok,Evet,Hayır,Satılık Daire,Belirtilmemiş,Emlak Ofisinden,Belirtilmemiş,0,4,1,,,,2,5,2026,0,124375.0
https://www.sahibinden.com/ilan/emlak-konut-satilik-esenyurt-kiracta-satilik-cati-piyesli-ayri-girisli-dubleks-3-plus2-1316271175/detay,satilik,2026-05-27T00:01:21.486735,ESENYURT KIRAÇTA SATILIK ÇATI PİYESLİ AYRI GİRİŞLİ DUBLEKS 3+2,Esenyurt,,"Favori Aramalarım, Size Özel İlanlar, Karşılaştır, Favori Aramalarım'a Git, Vazgeç, Karşılaştır, Tüm ilanları, Favori Satıcılarıma ekle, Dolu, Boş, Yatay, Dikey",4850000,125,119,3+2,3,Kombi (Doğalgaz),Kapalı,Var,Yok,Açık Otopark,Hayır,Boş,Hayır,Kat İrtifaklı,Evet,Hayır,Satılık Daire,Belirtilmemiş,Emlak Ofisinden,Belirtilmemiş,4,3,2,,,,4,5,2026,0,38800.0
https://www.sahibinden.com/ilan/emlak-konut-satilik-beylikduzu-kavakli-da-yasam-vadisi-ustu-sifir-luks-2-plus1-daire-1299649207/detay,satilik,2026-05-27T00:01:40.389755,BEYLİKDÜZÜ KAVAKLI' DA YAŞAM VADİSİ ÜSTÜ SIFIR LÜKS 2+1 DAİRE,Beylikdüzü,,"Favori Aramalarım, Size Özel İlanlar, Karşılaştır, Favori Aramalarım'a Git, Vazgeç, Karşılaştır, Tüm ilanları, Favori Satıcılarıma ekle, Dolu, Boş, Yatay, Dikey",4500000,105,95,2+1,2,Kombi (Doğalgaz),Kapalı,Yok,Var,Kapalı Otopark,Hayır,Boş,Hayır,Kat Mülkiyetli,Evet,Hayır,Satılık Daire,Belirtilmemiş,Emlak Ofisinden,Belirtilmemiş,0,3,2,,,,2,5,2026,0,42857.142857142855
https://www.sahibinden.com/ilan/emlak-konut-satilik-sisli-siracevizler-de-105-m2-ozel-tasarim-3-plus1-satilik-daire-1310408812/detay,satilik,2026-05-27T00:02:00.197216,ŞİŞLİ SIRACEVİZLER'DE 105 m2 ÖZEL TASARIM 3+1 SATILIK DAİRE,Şişli,,"Favori Aramalarım, Size Özel İlanlar, Karşılaştır, Favori Aramalarım'a Git, Vazgeç, Karşılaştır, Tüm ilanları, Favori Satıcılarıma ekle, Dolu, Boş, Yatay, Dikey",10850000,120,105,3+1,5,Merkezi,Kapalı,Var,Var,Yok,Evet,Mülk Sahibi,Hayır,Kat Mülkiyetli,Evet,Hayır,Satılık Daire,Belirtilmemiş,Emlak Ofisinden,Belirtilmemiş,31,6,2,,,,3,5,2026,0,90416.66666666667
https://www.sahibinden.com/ilan/emlak-konut-satilik-bosphorus-city-en-buyuk-izole-bahceli-tekli-blok-yali-dairesi-1318942601/detay,satilik,2026-05-27T00:02:19.903780,BOSPHORUS CİTY EN BÜYÜK İZOLE BAHÇELİ TEKLİ BLOK YALI DAİRESİ,,,"Favori Aramalarım, Size Özel İlanlar, Karşılaştır, Favori Aramalarım'a Git, Vazgeç, Karşılaştır, Tüm ilanları, Favori Satıcılarıma ekle, Dolu, Boş, Yatay, Dikey",35000000,257,190,4+1,Bahçe Katı,Yerden Isıtma,Kapalı,Var,Var,Açık & Kapalı Otopark,Hayır,Mülk Sahibi,Evet,Kat Mülkiyetli,Evet,Hayır,Satılık Daire,Belirtilmemiş,Emlak Ofisinden,Sinpaş Gyo Bosphorus City,13,4,2,,,10000,4,5,2026,0,136186.77042801556
https://www.sahibinden.com/ilan/emlak-konut-satilik-karadeniz-mah.merkezi-konum-da-4-plus2-135-m2-masrafsiz-dublex-1303890779/detay,satilik,2026-05-27T00:02:38.055677,KARADENİZ MAH.MERKEZİ KONUM DA 4+2 135 m² MASRAFSIZ DUBLEX,,,"Favori Aramalarım, Size Özel İlanlar, Karşılaştır, Favori Aramalarım'a Git, Vazgeç, Karşılaştır, Tüm ilanları, Favori Satıcılarıma ekle, Dolu, Boş, Yatay, Dikey",8500000,145,135,4+2,4,Kombi (Doğalgaz),Kapalı,Var,Var,Yok,Hayır,Mülk Sahibi,Hayır,Kat Mülkiyetli,Evet,Hayır,Satılık Daire,Belirtilmemiş,Emlak Ofisinden,Belirtilmemiş,3,5,2,,,,5,5,2026,0,58620.68965517241
