listing_id,listing_type,district,neighbourhood,price,GrossSquareMeters,NetSquareMeters,price_per_m2,rooms,halls,total_rooms,floor,floor_category,total_floors,building_age,building_type,building_condition,heating_type,fuel_type,bathroom_count,furnished,usage_status,is_in_complex,complex_name,maintenance_fee,orientation,credit_eligible,deed_status,exchange,last_updated,scraped_at
54895-1121,satilik,Adalar,Maden,15900000,138.0,96.0,115217.39130434782,3,1,4,3.0,,3.0,55,Reinforced Concrete,New,Air Conditioning,Natural Gas,2.0,Furnished,Vacant,False,,2500.0,"North, South, East, West",Not Eligible,Land Title,No,2026-03-11,2026-03-14 20:38:29
54895-1103,satilik,Adalar,Nizam,40000000,199.0,150.0,201005.02512562813,4,1,5,-1.0,Garden Floor,3.0,0,Reinforced Concrete,New,Combi Boiler,Natural Gas,4.0,Unfurnished,Vacant,True,,10000.0,"North, South, East, West",Eligible,Construction Easement,No,2026-03-05,2026-03-14 20:38:36
54895-1148,satilik,Adalar,Nizam,17850000,107.0,81.0,166822.42990654206,2,1,3,1.0,,5.0,54,Reinforced Concrete,New,Combi Boiler,Natural Gas,3.0,Furnished,Vacant,False,,1000.0,"North, East, West",Eligible,Condominium Title,No,2026-03-05,2026-03-14 20:38:47
12854-258,satilik,Adalar,Heybeliada,16000000,200.0,196.0,80000.0,3,1,4,,Top Floor,3.0,35,Reinforced Concrete,Second-hand,Combi Boiler,Natural Gas,2.0,Unfurnished,Owner-occupied,False,,,"North, West",Eligible,Condominium Title,No,2026-03-14,2026-03-14 20:38:56
121334-99,satilik,Adalar,Nizam,14000000,160.0,145.0,87500.0,4,1,5,-1.0,Garden Floor,3.0,40,Reinforced Concrete,Second-hand,Floor Radiator,Natural Gas,1.0,Unfurnished,Vacant,False,,400.0,,Eligible,Condominium Title,No,2026-03-14,2026-03-14 20:39:04
12854-251,satilik,Adalar,Heybeliada,12000000,120.0,100.0,100000.0,3,1,4,-1.0,Garden Floor,3.0,35,Reinforced Concrete,Second-hand,Air Conditioning,Natural Gas,1.0,Unfurnished,Vacant,False,,250.0,North,Eligible,Condominium Title,No,2026-03-14,2026-03-14 20:39:12
4387-1728,satilik,Adalar,Maden,21900000,160.0,150.0,136875.0,4,1,5,,Top Floor,3.0,30,Reinforced Concrete,Second-hand,Combi Boiler,Natural Gas,2.0,Furnished,Owner-occupied,False,,3500.0,"South, East, West",Eligible,Condominium Title,No,2026-03-13,2026-03-14 20:39:20
54895-1156,satilik,Adalar,Maden,6500000,59.0,48.0,110169.49152542373,1,1,2,-1.0,Garden Floor,4.0,50,Reinforced Concrete,Second-hand,Combi Boiler,Natural Gas,1.0,Unfurnished,Vacant,False,,500.0,"North, South, East",Eligible,Condominium Title,No,2026-03-13,2026-03-14 20:39:27
139746-600,satilik,Adalar,Kınalıada,18500000,190.0,160.0,97368.42105263157,3,2,5,3.0,,3.0,25,Reinforced Concrete,Second-hand,Combi Boiler,Natural Gas,2.0,Unfurnished,Owner-occupied,False,,,"North, South, East, West",Eligible,Condominium Title,No,2026-03-12,2026-03-14 20:39:35
25051-1008,satilik,Adalar,Maden,12100000,160.0,135.0,75625.0,4,1,5,-1.0,Garden Floor,2.0,35,Reinforced Concrete,Second-hand,No Heating,Natural Gas,1.0,Furnished,Owner-occupied,False,,,"North, South, East, West",Eligible,Condominium Title,No,2026-03-14,2026-03-14 20:39:42
54895-1134,satilik,Adalar,Nizam,22500000,226.0,81.0,99557.52212389381,2,1,3,,Terrace Floor,4.0,45,Reinforced Concrete,New,Combi Boiler,Natural Gas,1.0,Unfurnished,Vacant,False,,2000.0,"North, South, East, West",Eligible,Condominium Title,No,2026-03-12,2026-03-14 20:39:50
54895-1107,satilik,Adalar,Nizam,24000000,99.0,94.0,242424.24242424243,3,1,4,3.0,,3.0,0,Reinforced Concrete,New,Combi Boiler,Natural Gas,2.0,Unfurnished,Vacant,True,,10000.0,"North, South, East, West",Eligible,Construction Easement,No,2026-03-12,2026-03-14 20:39:59
54895-1104,satilik,Adalar,Nizam,30000000,198.0,161.0,151515.15151515152,4,1,5,-1.0,Garden Floor,3.0,0,Reinforced Concrete,New,Combi Boiler,Natural Gas,3.0,Unfurnished,Vacant,True,,10000.0,"North, South, East, West",Eligible,Construction Easement,No,2026-03-13,2026-03-14 20:40:08
