sub_district,count,avg_price,median_price,avg_ppm2,avg_gross_m2,avg_net_m2
Baltalimanı,1,48825000,48825000,277414.7727272727,176,157
Kazlıçeşme,18,34992777.777777776,38000000,203612.49372642842,172.27777777777777,112.16666666666667
Balmumcu,4,35000000,37500000,231640.625,157,135
Akat,50,32108000,36750000,267989.36208747746,121.46,98.08
Kandilli,5,31820000,35000000,181700.560640029,175.4,146
Muhsine Hatun,1,34500000,34500000,627272.7272727273,55,48
Etiler,78,31484525.64102564,32525000,263497.79644495697,128.48717948717947,104.83333333333333
Fenerbahçe,61,32215540.98360656,32500000,236329.04398482654,137.60655737704917,108.63934426229508
Harbiye,13,31923076.923076924,32500000,187537.91066945286,170.15384615384616,148.46153846153845
Uskumruköy,7,30321428.57142857,30250000,145785.00252038482,212.85714285714286,176.42857142857142
Levazım,19,26953947.36842105,30000000,169491.06418887357,155.6315789473684,136.89473684210526
Altunizade,19,31189473.684210528,29750000,168113.70970813074,182.8421052631579,147.68421052631578
Kireçburnu,2,29750000,29750000,226754.3859649123,140,122.5
Demirciköy,2,28750000,28750000,141981.7073170732,202.5,175
Kuruçeşme,8,30000000,28250000,238142.89876789876,123.75,98.625
Beylerbeyi,8,26643750,28200000,218642.89152737428,124.375,111
Küçük Ayasofya,2,27525000,27525000,121406.25,200,182.5
Basınköy,24,30291666.666666668,27500000,152365.82740729995,201,180.33333333333334
Ulus,37,28201351.35135135,27500000,168026.2965694087,169.72972972972974,148.83783783783784
Yeşilyurt,53,29200000,27500000,190179.65385454893,164.56603773584905,139.67924528301887
Caddebostan,97,26796391.75257732,26750000,213686.19171294163,125.43298969072166,98.43298969072166
Şenlikköy,255,27746784.31372549,26500000,126247.2034032029,226.1921568627451,202.82745098039214
Yeşilköy,99,26698888.888888888,26000000,159636.9837322576,171.2020202020202,150.96969696969697
Küçük Çamlıca,15,25633400,25750000,156145.14324490304,160,128.06666666666666
Pürtelaş Hasan Efendi,9,26200000,25500000,210056.45960293175,124.22222222222223,111.11111111111111
